trans,site,trt,yr,hab,tot_transhab
1,Acheson,Tile,2016,EV,89.89
1,Acheson,Tile,2016,SS,65.72
1,Acheson,Tile,2016,SV,56.73
2,Acheson,Tile,2016,EV,75.69
2,Acheson,Tile,2016,SV,107.78
3,Acheson,Tile,2016,EV,54.57
3,Acheson,Tile,2016,SS,85.67
3,Acheson,Tile,2016,SV,146.81
4,Acheson,Tile,2016,EV,97.47
4,Acheson,Tile,2016,SS,17.8
4,Acheson,Tile,2016,SV,134.27
1,Beck,Control,2015,EV,86.04
1,Beck,Control,2015,SS,71.76
1,Beck,Control,2015,SV,16.28
2,Beck,Control,2015,EV,48.88
2,Beck,Control,2015,SS,6.64
2,Beck,Control,2015,SV,35.14
3,Beck,Control,2015,EV,47.2
3,Beck,Control,2015,SS,1.31
3,Beck,Control,2015,SV,21.41
4,Beck,Control,2015,EV,257.04
4,Beck,Control,2015,SS,42.88
4,Beck,Control,2015,SV,22.36
1,Beck,Control,2016,EV,85.37
1,Beck,Control,2016,SS,29.96
1,Beck,Control,2016,SV,7.46
2,Beck,Control,2016,EV,44.3
2,Beck,Control,2016,SS,7.97
2,Beck,Control,2016,SV,72.36
3,Beck,Control,2016,SS,96.11
3,Beck,Control,2016,SV,70.23
4,Beck,Control,2016,EV,1.39
4,Beck,Control,2016,SS,8.69
4,Beck,Control,2016,SV,67.68
1,Buffalo Lake,Control,2015,EV,272.44
1,Buffalo Lake,Control,2015,SV,412.97
2,Buffalo Lake,Control,2015,EV,102.41
2,Buffalo Lake,Control,2015,SV,223.14
3,Buffalo Lake,Control,2015,EV,193.88
3,Buffalo Lake,Control,2015,SV,136.26
4,Buffalo Lake,Control,2015,EV,302.27
4,Buffalo Lake,Control,2015,SV,308.67
1,Buffalo Lake,Control,2016,EV,0.26
1,Buffalo Lake,Control,2016,SV,0.51
2,Buffalo Lake,Control,2016,EV,8.96
2,Buffalo Lake,Control,2016,SV,9.03
3,Buffalo Lake,Control,2016,EV,29.09
3,Buffalo Lake,Control,2016,SV,8.33
4,Buffalo Lake,Control,2016,EV,1.03
4,Buffalo Lake,Control,2016,SV,1.39
1,Ericksrud,Tile,2015,EV,81.63
1,Ericksrud,Tile,2015,SV,46.86
2,Ericksrud,Tile,2015,EV,126.78
2,Ericksrud,Tile,2015,SS,2.11
2,Ericksrud,Tile,2015,SV,152.3
3,Ericksrud,Tile,2015,EV,114.17
3,Ericksrud,Tile,2015,SS,160.39
1,Ericksrud,Tile,2016,EV,80.62
1,Ericksrud,Tile,2016,SS,177.31
1,Ericksrud,Tile,2016,SV,92.58
2,Ericksrud,Tile,2016,EV,151.1
2,Ericksrud,Tile,2016,SS,38.6
2,Ericksrud,Tile,2016,SV,75.42
3,Ericksrud,Tile,2016,EV,86.59
3,Ericksrud,Tile,2016,SS,47.73
3,Ericksrud,Tile,2016,SV,112.75
4,Ericksrud,Tile,2016,EV,12.52
4,Ericksrud,Tile,2016,SS,25.84
4,Ericksrud,Tile,2016,SV,148.58
1,Fods Slough,Surface,2015,SS,22.7
1,Fods Slough,Surface,2015,SV,161.34
2,Fods Slough,Surface,2015,SS,11.16
2,Fods Slough,Surface,2015,SV,168.07
3,Fods Slough,Surface,2015,SS,31.61
3,Fods Slough,Surface,2015,SV,458.64
