SITE	trt	mth	year	mth_yr	clothianidin	cloth0001	dinotefuran	dino0001	imidacloprid	imid0001
Acheson	Tile	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Beck	Control	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Buffalo Lake	Control	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Eriksrud	Tile	May	2016	May_2016	0	0.0001	0	0.0001	0.035325169	0.035425169
Fods Slough	Surface	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Gerdink	Tile	May	2016	May_2016	0	0.0001	0	0.0001	0.01767167	0.01777167
Gerdink	Tile	May	2016	May_2016	0	0.0001	0	0.0001	0.019091508	0.019191508
Habeger 	Tile	May	2016	May_2016	0	0.0001	0	0.0001	0.076556825	0.076656825
Habeger Tile Outflow	Outflow	May	2016	May_2016	0	0.0001	0.010429619	0.010529619	0.065469787	0.065569787
Vermillion Lake	Control	May	2016	May_2016	0	0.0001	0	0.0001	0.094566474	0.094666474
Lost Lake	Control	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Pittenger	Control	May	2016	May_2016	0	0.0001	0	0.0001	0.036938423	0.037038423
Ramsey	Surface	May	2016	May_2016	0	0.0001	0	0.0001	0.014581874	0.014681874
Schaefer	Surface	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Swartz Tile Outflow	Outflow	May	2016	May_2016	0	0.0001	0	0.0001	0	0.0001
Ziegler	Surface	May	2016	May_2016	0	0.0001	0	0.0001	0.01921262	0.01931262
Pittenger	Control	May	2016	May_2016	0.01039925	0.01049925	0	0.0001	0	0.0001
Volker	Tile	May	2016	May_2016	0.010564409	0.010664409	0	0.0001	0	0.0001
Healy Slough	Surface	May	2016	May_2016	0.011069223	0.011169223	0	0.0001	0	0.0001
Eriksrud Tile Outflow	Outflow	May	2016	May_2016	0.017127331	0.017227331	0	0.0001	0.048309406	0.048409406
Acheson	Tile	May	2015	May_2015	0	0.0001	0	0.0001	0	0.0001
Acheson	Tile	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
Beck	Control	May	2015	May_2015	0	0.0001	0	0.0001	0	0.0001
Beck	Control	June	2015	June_2015	0	0.0001	0	0.0001	0	0.0001
Beck	Control	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
Buffalo Lake	Control	May	2015	May_2015	0	0.0001	0	0.0001	0	0.0001
Buffalo Lake	Control	June	2015	June_2015	0	0.0001	0	0.0001	0	0.0001
Buffalo Lake	Control	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
Eriksrud	Tile	May	2015	May_2015	0	0.0001	0	0.0001	0	0.0001
Eriksrud	Tile	June	2015	June_2015	0	0.0001	0	0.0001	0	0.0001
Eriksrud	Tile	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
Fods Slough	Surface	May	2015	May_2015	0.005	0.0051	0	0.0001	0	0.0001
Fods Slough	Surface	June	2015	June_2015	0	0.0001	0	0.0001	0	0.0001
Fods Slough	Surface	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
Gerdink	Tile	May	2015	May_2015	0	0.0001	0	0.0001	0	0.0001
Gerdink	Tile	June	2015	June_2015	0	0.0001	0	0.0001	0	0.0001
Gerdink	Tile	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
Habeger	Tile	May	2015	May_2015	0	0.0001	0	0.0001	0	0.0001
Habeger	Tile	June	2015	June_2015	0	0.0001	0	0.0001	0	0.0001
Habeger	Tile	July	2015	July_2015	0	0.0001	0	0.0001	0	0.0001
