,site,trt,rep,taxon,stage,mon_yr,se_ugg,year,waterjune,watermay
7,Beck,control,1,Chironomidae,adults,June_2015,1.26,2015,0.1501,0.0001
8,Beck,control,2,Chironomidae,adults,June_2015,1.48,2015,0.1501,0.0001
9,Beck,control,1,Coenagrionidae,adults,June_2015,0.82,2015,0.1501,0.0001
10,Beck,control,2,Coenagrionidae,adults,June_2015,1.24,2015,0.1501,0.0001
17,Buffalo Lake,control,1,Coenagrionidae,adults,June_2015,0.59,2015,3.9001,2.7001
18,Buffalo Lake,control,2,Coenagrionidae,adults,June_2015,0.89,2015,3.9001,2.7001
19,Buffalo Lake,control,1,Chironomidae,adults,June_2015,5.39,2015,3.9001,2.7001
20,Buffalo Lake,control,2,Chironomidae,adults,June_2015,6.04,2015,3.9001,2.7001
21,Eriksrud,tile,1,Chironomidae,adults,June_2015,14,2015,0.3001,0.0001
22,Eriksrud,tile,1,Coenagrionidae,adults,June_2015,2.21,2015,0.3001,0.0001
23,Eriksrud,tile,2,Coenagrionidae,adults,June_2015,0.89,2015,0.3001,0.0001
28,Fods Slough,surface,1,Chironomidae,adults,June_2015,0.48,2015,4.3001,0.1501
29,Fods Slough,surface,2,Chironomidae,adults,June_2015,0.53,2015,4.3001,0.1501
30,Fods Slough,surface,1,Coenagrionidae,adults,June_2015,0.62,2015,4.3001,0.1501
31,Fods Slough,surface,2,Coenagrionidae,adults,June_2015,0.52,2015,4.3001,0.1501
37,Gerdink,tile,1,Chironomidae,adults,June_2015,5.23,2015,0.7001,0.7001
42,Habeger,tile,1,Chironomidae,adults,June_2015,3.02,2015,0.2001,0.3001
43,Habeger,tile,2,Chironomidae,adults,June_2015,3.01,2015,0.2001,0.3001
47,Healy Slough,surface,1,Chironomidae,adults,June_2015,2.61,2015,0.2001,0.1551
48,Healy Slough,surface,2,Chironomidae,adults,June_2015,1.96,2015,0.2001,0.1551
49,Healy Slough,surface,1,Coenagrionidae,adults,June_2015,0.46,2015,0.2001,0.1551
50,Healy Slough,surface,2,Coenagrionidae,adults,June_2015,0.75,2015,0.2001,0.1551
53,Lake Vermillion,control,1,Coenagrionidae,adults,June_2015,0.36,2015,0.4001,1.4501
54,Lake Vermillion,control,2,Coenagrionidae,adults,June_2015,0.38,2015,0.4001,1.4501
55,Lake Vermillion,control,1,Chironomidae,adults,June_2015,0.57,2015,0.4001,1.4501
56,Lake Vermillion,control,2,Chironomidae,adults,June_2015,0.68,2015,0.4001,1.4501
61,Lost Lake,control,1,Chironomidae,adults,June_2015,0.63,2015,0.0001,1.4501
62,Lost Lake,control,2,Chironomidae,adults,June_2015,1.6,2015,0.0001,1.4501
63,Lost Lake,control,1,Coenagrionidae,adults,June_2015,0.78,2015,0.0001,1.4501
64,Lost Lake,control,2,Coenagrionidae,adults,June_2015,0.85,2015,0.0001,1.4501
71,Petri,surface,1,Chironomidae,adults,June_2015,2.32,2015,8.1501,1.2001
72,Petri,surface,2,Chironomidae,adults,June_2015,4.06,2015,8.1501,1.2001
76,Pettigrew,control,1,Chironomidae,adults,June_2015,3.07,2015,0.2001,0.0001
82,Pittenger,control,1,Chironomidae,adults,June_2015,2.75,2015,0.2401,0.0336
83,Pittenger,control,2,Chironomidae,adults,June_2015,2.43,2015,0.2401,0.0336
84,Pittenger,control,1,Coenagrionidae,adults,June_2015,0.6,2015,0.2401,0.0336
85,Pittenger,control,2,Coenagrionidae,adults,June_2015,1.16,2015,0.2401,0.0336
89,Ramsey,surface,1,Chironomidae,adults,June_2015,1.05,2015,0.3001,0.0501
90,Ramsey,surface,2,Chironomidae,adults,June_2015,1.34,2015,0.3001,0.0501
91,Ramsey,surface,1,Coenagrionidae,adults,June_2015,0.86,2015,0.3001,0.0501
92,Ramsey,surface,2,Coenagrionidae,adults,June_2015,1.03,2015,0.3001,0.0501
98,Schaefer,surface,1,Chironomidae,adults,June_2015,1,2015,0.1501,1.6001
99,Schaefer,surface,2,Chironomidae,adults,June_2015,0.77,2015,0.1501,1.6001
100,Schaefer,surface,1,Coenagrionidae,adults,June_2015,0.82,2015,0.1501,1.6001
101,Schaefer,surface,2,Coenagrionidae,adults,June_2015,1.23,2015,0.1501,1.6001
107,Swartz,tile,1,Chironomidae,adults,June_2015,2.43,2015,1.1001,0.5501
108,Swartz,tile,2,Chironomidae,adults,June_2015,1.76,2015,1.1001,0.5501
115,Volker,tile,1,Coenagrionidae,adults,June_2015,0.45,2015,0.4001,2.1001
116,Volker,tile,2,Coenagrionidae,adults,June_2015,0.53,2015,0.4001,2.1001
117,Volker,tile,1,Chironomidae,adults,June_2015,2,2015,0.4001,2.1001
118,Volker,tile,2,Chironomidae,adults,June_2015,1.19,2015,0.4001,2.1001
125,Ziegler,surface,1,Coenagrionidae,adults,June_2015,0.44,2015,3.8501,1.4501
126,Ziegler,surface,2,Coenagrionidae,adults,June_2015,0.44,2015,3.8501,1.4501
127,Ziegler,surface,1,Chironomidae,adults,June_2015,0.77,2015,3.8501,1.4501
128,Ziegler,surface,2,Chironomidae,adults,June_2015,1.16,2015,3.8501,1.4501
1,Acheson,tile,1,Chironomidae,adults,June_2016,2.41,2016,0.2891,1.8271
2,Acheson,tile,2,Chironomidae,adults,June_2016,2.364,2016,0.2891,1.8271
3,Acheson,tile,1,Coenagrionidae,adults,June_2016,1.812,2016,0.2891,1.8271
4,Acheson,tile,2,Coenagrionidae,adults,June_2016,1.683,2016,0.2891,1.8271
11,Beck,control,1,Chironomidae,adults,June_2016,1.595,2016,0.0491,0.1061
12,Beck,control,2,Chironomidae,adults,June_2016,1.121,2016,0.0491,0.1061
13,Beck,control,1,Coenagrionidae,adults,June_2016,1.974,2016,0.0491,0.1061
14,Beck,control,2,Coenagrionidae,adults,June_2016,1.728,2016,0.0491,0.1061
24,Eriksrud,tile,1,Chironomidae,adults,June_2016,2.967,2016,0.4571,2.1491
25,Eriksrud,tile,1,Coenagrionidae,adults,June_2016,0.909,2016,0.4571,2.1491
26,Eriksrud,tile,2,Coenagrionidae,adults,June_2016,2.116,2016,0.4571,2.1491
32,Fods Slough,surface,1,Chironomidae,adults,June_2016,4.026,2016,0.2131,0.6261
33,Fods Slough,surface,1,Coenagrionidae,adults,June_2016,1.299,2016,0.2131,0.6261
34,Fods Slough,surface,2,Coenagrionidae,adults,June_2016,1.583,2016,0.2131,0.6261
38,Gerdink,tile,1,Chironomidae,adults,June_2016,3.725,2016,3.1811,6.9231
39,Gerdink,tile,1,Coenagrionidae,adults,June_2016,1.623,2016,3.1811,6.9231
44,Habeger,tile,1,Chironomidae,adults,June_2016,21.194,2016,1.0451,4.0371
45,Habeger,tile,1,Coenagrionidae,adults,June_2016,3.538,2016,1.0451,4.0371
46,Habeger,tile,2,Coenagrionidae,adults,June_2016,2.08,2016,1.0451,4.0371
51,Healy Slough,surface,1,Coenagrionidae,adults,June_2016,1.882,2016,0.2321,1.6521
57,Lake Vermillion,control,1,Chironomidae,adults,June_2016,2.265,2016,0.2321,1.6521
58,Lake Vermillion,control,1,Coenagrionidae,adults,June_2016,1.013,2016,0.2321,1.6521
65,Lost Lake,control,1,Chironomidae,adults,June_2016,0.337,2016,0.0931,0.2371
66,Lost Lake,control,2,Chironomidae,adults,June_2016,1.288,2016,0.0931,0.2371
67,Lost Lake,control,1,Coenagrionidae,adults,June_2016,3.529,2016,0.0931,0.2371
68,Lost Lake,control,2,Coenagrionidae,adults,June_2016,1.453,2016,0.0931,0.2371
73,Petri,surface,1,Chironomidae,adults,June_2016,0.618,2016,0.2721,2.7281
74,Petri,surface,1,Coenagrionidae,adults,June_2016,0.978,2016,0.2721,2.7281
77,Pettigrew,control,1,Chironomidae,adults,June_2016,0.661,2016,0.1231,0.1541
78,Pettigrew,control,2,Chironomidae,adults,June_2016,0.82,2016,0.1231,0.1541
79,Pettigrew,control,1,Coenagrionidae,adults,June_2016,0.715,2016,0.1231,0.1541
80,Pettigrew,control,2,Coenagrionidae,adults,June_2016,0.611,2016,0.1231,0.1541
86,Pittenger,control,1,Chironomidae,adults,June_2016,0.686,2016,0.1651,0.1451
87,Pittenger,control,1,Coenagrionidae,adults,June_2016,2.931,2016,0.1651,0.1451
88,Pittenger,control,2,Coenagrionidae,adults,June_2016,1.116,2016,0.1651,0.1451
93,Ramsey,surface,1,Chironomidae,adults,June_2016,2.058,2016,0.2261,0.2071
94,Ramsey,surface,2,Chironomidae,adults,June_2016,2.456,2016,0.2261,0.2071
95,Ramsey,surface,1,Coenagrionidae,adults,June_2016,0.758,2016,0.2261,0.2071
102,Schaefer,surface,1,Chironomidae,adults,June_2016,0.284,2016,0.2641,0.3501
103,Schaefer,surface,2,Chironomidae,adults,June_2016,0.156,2016,0.2641,0.3501
104,Schaefer,surface,1,Coenagrionidae,adults,June_2016,0.739,2016,0.2641,0.3501
105,Schaefer,surface,2,Coenagrionidae,adults,June_2016,0.891,2016,0.2641,0.3501
109,Swartz,tile,1,Chironomidae,adults,June_2016,20.133,2016,1.2431,3.1111
110,Swartz,tile,2,Chironomidae,adults,June_2016,3.351,2016,1.2431,3.1111
111,Swartz,tile,1,Coenagrionidae,adults,June_2016,5.061,2016,1.2431,3.1111
112,Swartz,tile,2,Coenagrionidae,adults,June_2016,4.834,2016,1.2431,3.1111
119,Volker,tile,1,Chironomidae,adults,June_2016,5.343,2016,0.6611,1.4651
120,Volker,tile,2,Chironomidae,adults,June_2016,5.099,2016,0.6611,1.4651
121,Volker,tile,1,Coenagrionidae,adults,June_2016,8.187,2016,0.6611,1.4651
122,Volker,tile,2,Coenagrionidae,adults,June_2016,4.892,2016,0.6611,1.4651
129,Ziegler,surface,2,Chironomidae,adults,June_2016,2.117,2016,0.6171,0.5691
130,Ziegler,surface,1,Chironomidae,adults,June_2016,14.526,2016,0.6171,0.5691
131,Ziegler,surface,1,Coenagrionidae,adults,June_2016,2.175,2016,0.6171,0.5691
132,Ziegler,surface,2,Coenagrionidae,adults,June_2016,6.247,2016,0.6171,0.5691
