"","site","trt","rep","taxon","stage","mon_yr","se_ugg","detectionlimit","mean","year","lat","long","min_area","max_area","depth_min","WetlandSize","Class"
"1","Acheson","tile",1,"Chironomidae","adults","June_2016",2.41,0.2,2.41,"2016",43.802269,-97.059,25,50,0.4,"25+acres","V-Permanent"
"2","Acheson","tile",2,"Chironomidae","adults","June_2016",2.364,0.2,2.364,"2016",43.802269,-97.059,25,50,0.4,"25+acres","V-Permanent"
"3","Acheson","tile",1,"Coenagrionidae","adults","June_2016",1.812,0.2,1.812,"2016",43.802269,-97.059,25,50,0.4,"25+acres","V-Permanent"
"4","Acheson","tile",2,"Coenagrionidae","adults","June_2016",1.683,0.2,1.683,"2016",43.802269,-97.059,25,50,0.4,"25+acres","V-Permanent"
"5","Acheson","tile",1,"Chironomidae","larvae","June_2016",2.246,0.2,2.246,"2016",43.802269,-97.059,25,50,0.4,"25+acres","V-Permanent"
"6","Acheson","tile",2,"Coenagrionidae","larvae","June_2016",1.499,0.2,1.499,"2016",43.802269,-97.059,25,50,0.4,"25+acres","V-Permanent"
"7","Beck","control",1,"Chironomidae","adults","June_2015",1.26,0.2,1.26,"2015",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"8","Beck","control",2,"Chironomidae","adults","June_2015",1.48,0.2,1.48,"2015",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"9","Beck","control",1,"Coenagrionidae","adults","June_2015",0.82,0.2,0.82,"2015",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"10","Beck","control",2,"Coenagrionidae","adults","June_2015",1.24,0.2,1.24,"2015",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"11","Beck","control",1,"Chironomidae","adults","June_2016",1.595,0.2,1.595,"2016",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"12","Beck","control",2,"Chironomidae","adults","June_2016",1.121,0.2,1.121,"2016",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"13","Beck","control",1,"Coenagrionidae","adults","June_2016",1.974,0.2,1.974,"2016",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"14","Beck","control",2,"Coenagrionidae","adults","June_2016",1.728,0.2,1.728,"2016",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"15","Beck","control",1,"Chironomidae","larvae","June_2016",1.183,0.2,1.183,"2016",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"16","Beck","control",1,"Coenagrionidae","larvae","June_2016",1.101,0.2,1.101,"2016",44.237144,-96.982,10,25,0.4,"10-25acres","V-Permanent"
"17","Buffalo Lake","control",1,"Coenagrionidae","adults","June_2015",0.59,0.2,0.59,"2015",43.82198,-97.06,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"18","Buffalo Lake","control",2,"Coenagrionidae","adults","June_2015",0.89,0.2,0.89,"2015",43.82198,-97.06,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"19","Buffalo Lake","control",1,"Chironomidae","adults","June_2015",5.39,0.2,5.39,"2015",43.82198,-97.06,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"20","Buffalo Lake","control",2,"Chironomidae","adults","June_2015",6.04,0.2,6.04,"2015",43.82198,-97.06,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"21","Eriksrud","tile",1,"Chironomidae","adults","June_2015",14,0.2,14,"2015",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"22","Eriksrud","tile",1,"Coenagrionidae","adults","June_2015",2.21,0.2,2.21,"2015",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"23","Eriksrud","tile",2,"Coenagrionidae","adults","June_2015",0.89,0.2,0.89,"2015",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"24","Eriksrud","tile",1,"Chironomidae","adults","June_2016",2.967,0.2,2.967,"2016",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"25","Eriksrud","tile",1,"Coenagrionidae","adults","June_2016",0.909,0.2,0.909,"2016",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"26","Eriksrud","tile",2,"Coenagrionidae","adults","June_2016",2.116,0.2,2.116,"2016",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"27","Eriksrud","tile",1,"Chironomidae","larvae","June_2016",2.086,0.2,2.086,"2016",44.252516,-97.059,10,25,0.7,"10-25acres","V-Permanent"
"28","Fods Slough","surface",1,"Chironomidae","adults","June_2015",0.48,0.2,0.48,"2015",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"29","Fods Slough","surface",2,"Chironomidae","adults","June_2015",0.53,0.2,0.53,"2015",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"30","Fods Slough","surface",1,"Coenagrionidae","adults","June_2015",0.62,0.2,0.62,"2015",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"31","Fods Slough","surface",2,"Coenagrionidae","adults","June_2015",0.52,0.2,0.52,"2015",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"32","Fods Slough","surface",1,"Chironomidae","adults","June_2016",4.026,0.2,4.026,"2016",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"33","Fods Slough","surface",1,"Coenagrionidae","adults","June_2016",1.299,0.2,1.299,"2016",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"34","Fods Slough","surface",2,"Coenagrionidae","adults","June_2016",1.583,0.2,1.583,"2016",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"35","Fods Slough","surface",1,"Chironomidae","larvae","June_2016",2.463,0.2,2.463,"2016",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"36","Fods Slough","surface",1,"Coenagrionidae","larvae","June_2016",1.785,0.2,1.785,"2016",43.92889,-97.094,25,50,0.7,"25+acres","V-Permanent"
"37","Gerdink","tile",1,"Chironomidae","adults","June_2015",5.23,0.2,5.23,"2015",44.203811,-96.955,3,10,0.7,"3-10acres","IV-Semipermanent"
"38","Gerdink","tile",1,"Chironomidae","adults","June_2016",3.725,0.2,3.725,"2016",44.203811,-96.955,3,10,0.7,"3-10acres","IV-Semipermanent"
"39","Gerdink","tile",1,"Coenagrionidae","adults","June_2016",1.623,0.2,1.623,"2016",44.203811,-96.955,3,10,0.7,"3-10acres","IV-Semipermanent"
"40","Gerdink","tile",1,"Chironomidae","larvae","June_2016",10.795,0.2,10.795,"2016",44.203811,-96.955,3,10,0.7,"3-10acres","IV-Semipermanent"
"41","Gerdink","tile",1,"Coenagrionidae","larvae","June_2016",5.751,0.2,5.751,"2016",44.203811,-96.955,3,10,0.7,"3-10acres","IV-Semipermanent"
"42","Habeger","tile",1,"Chironomidae","adults","June_2015",3.02,0.2,3.02,"2015",44.182485,-97.063,25,50,0.7,"25+acres","V-Permanent"
"43","Habeger","tile",2,"Chironomidae","adults","June_2015",3.01,0.2,3.01,"2015",44.182485,-97.063,25,50,0.7,"25+acres","V-Permanent"
"44","Habeger","tile",1,"Chironomidae","adults","June_2016",21.194,0.2,21.194,"2016",44.182485,-97.063,25,50,0.7,"25+acres","V-Permanent"
"45","Habeger","tile",1,"Coenagrionidae","adults","June_2016",3.538,0.2,3.538,"2016",44.182485,-97.063,25,50,0.7,"25+acres","V-Permanent"
"46","Habeger","tile",2,"Coenagrionidae","adults","June_2016",2.08,0.2,2.08,"2016",44.182485,-97.063,25,50,0.7,"25+acres","V-Permanent"
"47","Healy Slough","surface",1,"Chironomidae","adults","June_2015",2.61,0.2,2.61,"2015",43.64827592,-97.21,10,25,0.7,"10-25acres","V-Permanent"
"48","Healy Slough","surface",2,"Chironomidae","adults","June_2015",1.96,0.2,1.96,"2015",43.64827592,-97.21,10,25,0.7,"10-25acres","V-Permanent"
"49","Healy Slough","surface",1,"Coenagrionidae","adults","June_2015",0.46,0.2,0.46,"2015",43.64827592,-97.21,10,25,0.7,"10-25acres","V-Permanent"
"50","Healy Slough","surface",2,"Coenagrionidae","adults","June_2015",0.75,0.2,0.75,"2015",43.64827592,-97.21,10,25,0.7,"10-25acres","V-Permanent"
"51","Healy Slough","surface",1,"Coenagrionidae","adults","June_2016",1.882,0.2,1.882,"2016",43.64827592,-97.21,10,25,0.7,"10-25acres","V-Permanent"
"52","Healy Slough","surface",1,"Coenagrionidae","larvae","June_2016",2.03,0.2,2.03,"2016",43.64827592,-97.21,10,25,0.7,"10-25acres","V-Permanent"
"53","Lake Vermillion","control",1,"Coenagrionidae","adults","June_2015",0.36,0.2,0.36,"2015",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"54","Lake Vermillion","control",2,"Coenagrionidae","adults","June_2015",0.38,0.2,0.38,"2015",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"55","Lake Vermillion","control",1,"Chironomidae","adults","June_2015",0.57,0.2,0.57,"2015",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"56","Lake Vermillion","control",2,"Chironomidae","adults","June_2015",0.68,0.2,0.68,"2015",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"57","Lake Vermillion","control",1,"Chironomidae","adults","June_2016",2.265,0.2,2.265,"2016",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"58","Lake Vermillion","control",1,"Coenagrionidae","adults","June_2016",1.013,0.2,1.013,"2016",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"59","Lake Vermillion","control",1,"Chironomidae","larvae","June_2016",0.268,0.2,0.268,"2016",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"60","Lake Vermillion","control",1,"Coenagrionidae","larvae","June_2016",1.616,0.2,1.616,"2016",43.641351,-97.16,0.3,3,0.4,"0.3-3acres","IV-Semipermanent"
"61","Lost Lake","control",1,"Chironomidae","adults","June_2015",0.63,0.2,0.63,"2015",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"62","Lost Lake","control",2,"Chironomidae","adults","June_2015",1.6,0.2,1.6,"2015",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"63","Lost Lake","control",1,"Coenagrionidae","adults","June_2015",0.78,0.2,0.78,"2015",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"64","Lost Lake","control",2,"Coenagrionidae","adults","June_2015",0.85,0.2,0.85,"2015",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"65","Lost Lake","control",1,"Chironomidae","adults","June_2016",0.337,0.2,0.337,"2016",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"66","Lost Lake","control",2,"Chironomidae","adults","June_2016",1.288,0.2,1.288,"2016",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"67","Lost Lake","control",1,"Coenagrionidae","adults","June_2016",3.529,0.2,3.529,"2016",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"68","Lost Lake","control",2,"Coenagrionidae","adults","June_2016",1.453,0.2,1.453,"2016",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"69","Lost Lake","control",1,"Chironomidae","larvae","June_2016",1.9188,0.2,1.9188,"2016",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"70","Lost Lake","control",1,"Coenagrionidae","larvae","June_2016",1.111,0.2,1.111,"2016",43.6772175,-97.06,0.1,0.3,0.7,"0.1-0.3acres","IV-Semipermanent"
"71","Petri","surface",1,"Chironomidae","adults","June_2015",2.32,0.2,2.32,"2015",43.6792482,-97.09,3,10,0.7,"3-10acres","IV-Semipermanent"
"72","Petri","surface",2,"Chironomidae","adults","June_2015",4.06,0.2,4.06,"2015",43.6792482,-97.09,3,10,0.7,"3-10acres","IV-Semipermanent"
"73","Petri","surface",1,"Chironomidae","adults","June_2016",0.618,0.2,0.618,"2016",43.6792482,-97.09,3,10,0.7,"3-10acres","IV-Semipermanent"
