,site,trt,rep,samp,taxon,stage,mon_yr,watermay,waterjune,se_ugg,year
1,Acheson,tile,1,A1CHA,Chironomidae,adults,June_2016,1.827,0.289,2.41,2016
2,Acheson,tile,2,A2CHA,Chironomidae,adults,June_2016,1.827,0.289,2.364,2016
3,Acheson,tile,1,A1COA,Coenagrionidae,adults,June_2016,1.827,0.289,1.812,2016
4,Acheson,tile,2,A2COA,Coenagrionidae,adults,June_2016,1.827,0.289,1.683,2016
5,Acheson,tile,1,A1CHL,Chironomidae,larvae,June_2016,1.827,0.289,2.246,2016
6,Acheson,tile,1,A1COL,Coenagrionidae,larvae,June_2016,1.827,0.289,1.499,2016
11,Beck,control,1,B1CHA,Chironomidae,adults,June_2016,0.106,0.049,1.595,2016
12,Beck,control,2,B2CHA,Chironomidae,adults,June_2016,0.106,0.049,1.121,2016
13,Beck,control,1,B1COA,Coenagrionidae,adults,June_2016,0.106,0.049,1.974,2016
14,Beck,control,2,B2COA,Coenagrionidae,adults,June_2016,0.106,0.049,1.728,2016
15,Beck,control,1,B1CHL,Chironomidae,larvae,June_2016,0.106,0.049,1.183,2016
16,Beck,control,1,B1COL,Coenagrionidae,larvae,June_2016,0.106,0.049,1.101,2016
24,Eriksrud,tile,1,E1CHA,Chironomidae,adults,June_2016,2.149,0.457,2.967,2016
27,Eriksrud,tile,1,E1CHL,Chironomidae,larvae,June_2016,2.149,0.457,2.086,2016
28,Eriksrud,tile,1,E1COA,Coenagrionidae,adults,June_2016,2.149,0.457,0.909,2016
29,Eriksrud,tile,2,E2COA,Coenagrionidae,adults,June_2016,2.149,0.457,2.116,2016
32,Fods Slough,surface,1,FS1CHA,Chironomidae,adults,June_2016,0.626,0.213,4.026,2016
33,Fods Slough,surface,1,FS1COA,Coenagrionidae,adults,June_2016,0.626,0.213,1.299,2016
34,Fods Slough,surface,2,FS2COA,Coenagrionidae,adults,June_2016,0.626,0.213,1.583,2016
35,Fods Slough,surface,1,FS1CHL,Chironomidae,larvae,June_2016,0.626,0.213,2.463,2016
36,Fods Slough,surface,1,FS1COL,Coenagrionidae,larvae,June_2016,0.626,0.213,1.785,2016
38,Gerdink,tile,1,G1CHA,Chironomidae,adults,June_2016,6.923,3.181,3.725,2016
39,Gerdink,tile,1,G1COA,Coenagrionidae,adults,June_2016,6.923,3.181,1.623,2016
40,Gerdink,tile,1,G1CHL,Chironomidae,larvae,June_2016,6.923,3.181,10.795,2016
41,Gerdink,tile,1,G1COL,Coenagrionidae,larvae,June_2016,6.923,3.181,5.751,2016
51,Healy Slough,surface,1,HS1COA,Coenagrionidae,adults,June_2016,4.037,1.045,1.882,2016
52,Healy Slough,surface,1,HS1COL,Coenagrionidae,larvae,June_2016,4.037,1.045,2.03,2016
57,Lake Vermillion,control,1,LV1CHA,Chironomidae,adults,June_2016,1.652,0.232,2.265,2016
58,Lake Vermillion,control,1,LV1COA,Coenagrionidae,adults,June_2016,1.652,0.232,1.013,2016
59,Lake Vermillion,control,1,LV1CHL,Chironomidae,larvae,June_2016,1.652,0.232,0.268,2016
60,Lake Vermillion,control,1,LV1COL,Coenagrionidae,larvae,June_2016,1.652,0.232,1.616,2016
65,Lost Lake,control,1,LL1CHA,Chironomidae,adults,June_2016,0.237,0.093,0.337,2016
66,Lost Lake,control,2,LL2CHA,Chironomidae,adults,June_2016,0.237,0.093,1.288,2016
67,Lost Lake,control,1,LL1COA,Coenagrionidae,adults,June_2016,0.237,0.093,3.529,2016
