,rep,site,trt,seugl,mo_yr,month,year,notes,se_01
11,1,Beck,Control,0,15-Jul,July,2015,No detect,0.0001
12,2,Beck,Control,0,15-Jul,July,2015,No detect,0.0001
13,1,Beck,Control,0.1,15-Jun,June,2015,,0.1001
14,2,Beck,Control,0.2,15-Jun,June,2015,,0.2001
15,1,Beck,Control,0,15-May,May,2015,No detect,0.0001
16,2,Beck,Control,0,15-May,May,2015,No detect,0.0001
17,1,Beck,Control,0.15,16-May,May,2016,,0.1547
18,2,Beck,Control,0.06,16-May,May,2016,,0.0572
19,1,Beck,Control,0.04,16-Jun,June,2016,,0.0369
20,2,Beck,Control,0.06,16-Jun,June,2016,,0.0608
21,1,Beck,Control,0.13,16-Jul,July,2016,,0.1329
22,2,Beck,Control,0.13,16-Jul,July,2016,,0.1255
23,1,Buffalo Lake,Control,0.3,15-Jul,July,2015,,0.3001
24,2,Buffalo Lake,Control,0.3,15-Jul,July,2015,,0.3001
25,1,Buffalo Lake,Control,4.6,15-Jun,June,2015,,4.6001
26,2,Buffalo Lake,Control,3.2,15-Jun,June,2015,,3.2001
27,1,Buffalo Lake,Control,3.8,15-May,May,2015,,3.8001
28,2,Buffalo Lake,Control,1.6,15-May,May,2015,,1.6001
29,1,Buffalo Lake,Control,0.39,16-May,May,2016,,0.3851
30,2,Buffalo Lake,Control,0.33,16-May,May,2016,,0.3333
31,1,Buffalo Lake,Control,0.16,16-Jun,June,2016,,0.1639
32,2,Buffalo Lake,Control,0.28,16-Jun,June,2016,,0.2835
33,1,Buffalo Lake,Control,0.3,16-Jul,July,2016,,0.2997
34,2,Buffalo Lake,Control,0.3,16-Jul,July,2016,,0.2963
106,1,Lake Vermillion,Control,0.4,15-Jun,June,2015,,0.4001
107,1,Lake Vermillion,Control,1.3,15-May,May,2015,,1.3001
108,2,Lake Vermillion,Control,1.6,15-May,May,2015,,1.6001
109,1,Lake Vermillion,Control,2.99,16-May,May,2016,,2.9871
110,2,Lake Vermillion,Control,0.32,16-May,May,2016,,0.3177
111,1,Lake Vermillion,Control,0.22,16-Jun,June,2016,,0.2246
112,2,Lake Vermillion,Control,0.24,16-Jun,June,2016,,0.2394
113,1,Lake Vermillion,Control,0.17,16-Jul,July,2016,,0.1713
114,2,Lake Vermillion,Control,0.2,16-Jul,July,2016,,0.197
115,1,Lost Lake,Control,0,15-Jun,June,2015,No detect,0.0001
116,2,Lost Lake,Control,0,15-Jun,June,2015,No detect,0.0001
117,1,Lost Lake,Control,1.6,15-May,May,2015,,1.6001
118,2,Lost Lake,Control,1.3,15-May,May,2015,,1.3001
119,1,Lost Lake,Control,0.26,16-May,May,2016,,0.2633
120,2,Lost Lake,Control,0.21,16-May,May,2016,,0.2101
121,1,Lost Lake,Control,0.1,16-Jun,June,2016,,0.0995
