,trans,site,trt,date,month,year,hab,totno,noaesh,nochiro,nocoenag,nocorix,nonoto,noephem
1494,1,Acheson,Tile,14-Jun-16,June,2016,EV,83,2,69,0,0,5,
1502,1,Acheson,Tile,14-Jun-16,June,2016,SS,103,0,100,0,0,1,0
1506,1,Acheson,Tile,14-Jun-16,June,2016,SV,75,0,61,0,0,6,0
1511,2,Acheson,Tile,14-Jun-16,June,2016,EV,73,0,54,3,2,3,1
1520,2,Acheson,Tile,14-Jun-16,June,2016,SV,158,0,147,1,2,5,0
1526,3,Acheson,Tile,14-Jun-16,June,2016,EV,74,1,71,0,0,2,0
1528,3,Acheson,Tile,14-Jun-16,June,2016,SS,44,2,14,7,0,0,0
1536,3,Acheson,Tile,14-Jun-16,June,2016,SV,163,1,132,7,1,13,0
1544,4,Acheson,Tile,14-Jun-16,June,2016,EV,62,4,38,4,1,3,0
1551,4,Acheson,Tile,14-Jun-16,June,2016,SS,22,0,16,0,1,5,0
1559,4,Acheson,Tile,14-Jun-16,June,2016,SV,163,0,130,3,3,17,0
4,1,Beck,Control,15-Jun-15,June,2015,EV,42,6,2,2,14,0,14
22,1,Beck,Control,15-Jun-15,June,2015,SS,85,1,9,0,7,0,63
12,1,Beck,Control,15-Jun-15,June,2015,SV,12,0,2,0,1,0,5
30,2,Beck,Control,15-Jun-15,June,2015,EV,23,0,1,2,6,1,9
37,2,Beck,Control,15-Jun-15,June,2015,SS,10,0,4,0,0,0,6
42,2,Beck,Control,15-Jun-15,June,2015,SV,36,0,0,2,14,3,13
47,3,Beck,Control,15-Jun-15,June,2015,EV,50,0,0,1,12,0,31
57,3,Beck,Control,15-Jun-15,June,2015,SS,2,0,1,0,0,0,1
59,3,Beck,Control,15-Jun-15,June,2015,SV,12,0,0,2,2,0,0
65,4,Beck,Control,15-Jun-15,June,2015,EV,424,0,374,1,44,0,1
76,4,Beck,Control,15-Jun-15,June,2015,SS,66,0,48,0,4,0,2
81,4,Beck,Control,15-Jun-15,June,2015,SV,51,0,7,0,34,0,1
1451,1,Beck,Control,13-Jun-16,June,2016,EV,35,0,0,2,20,3,0
1466,1,Beck,Control,13-Jun-16,June,2016,SS,38,0,6,0,12,0,17
1470,1,Beck,Control,13-Jun-16,June,2016,SV,12,0,4,0,4,0,2
1478,2,Beck,Control,13-Jun-16,June,2016,EV,36,0,6,0,18,1,4
1482,2,Beck,Control,13-Jun-16,June,2016,SS,9,0,1,1,4,0,3
1491,2,Beck,Control,13-Jun-16,June,2016,SV,74,0,22,0,22,0,16
1436,3,Beck,Control,13-Jun-16,June,2016,SS,74,2,15,0,10,0,34
1442,3,Beck,Control,13-Jun-16,June,2016,SV,62,0,5,1,24,1,18
1421,4,Beck,Control,13-Jun-16,June,2016,EV,4,0,1,0,3,0,0
1423,4,Beck,Control,13-Jun-16,June,2016,SS,11,0,2,0,0,0,9
1431,4,Beck,Control,13-Jun-16,June,2016,SV,56,1,18,0,10,0,21
155,1,Buffalo Lake,Control,17-Jun-15,June,2015,EV,49,9,0,7,1,5,1
