,site,trt,mth,temp,do,ph,cond,turb
1,Acheson,Tile,May,19.7,11,8.13,2824,6
2,Acheson,Tile,June,27.3,10.36,8,30.4,6.4
3,Acheson,Tile,July,25.2,13.01,9.31,2956,11.6
4,Beck,Control,May,18.8,12.16,9.19,1712,10
5,Beck,Control,June,27.3,8.59,8.7,1758,7.4
6,Beck,Control,July,25,10.19,8.6,1917,9.8
7,Buffalo Lake,Control,May,15.4,7.79,7.33,1811,33
8,Buffalo Lake,Control,June,25.7,6.39,7.39,752,15.9
9,Buffalo Lake,Control,July,24,5.92,7.79,1395,4.5
10,Eriksrud,Tile,May,20,9.87,7.84,3579,42.4
11,Eriksrud,Tile,June,26.4,2.42,8.4,2905,65.4
12,Eriksrud,Tile,July,22.5,2.75,8.81,3105,18.1
13,Fods,Surface,May,19.5,14.73,8.71,2382,4.5
14,Fods,Surface,June,29.4,23.72,9.8,2274,10.1
15,Fods,Surface,July,26.8,13.09,9.83,2339,36.3
16,Gerdink,Tile,May,17.2,16.8,8.65,2293,32.1
17,Gerdink,Tile,June,26.7,1.17,7.25,2218,34.9
18,Gerdink,Tile,July,24.9,5.47,7.6,2340,44.5
19,Habeger,Tile,May,22.2,10.7,8.27,2704,3.1
20,Habeger,Tile,June,26.1,3.95,7.89,2248,28.4
21,Habeger,Tile,July,26.2,8.5,8.13,2424,12.8
22,Healy,Surface,May,20.8,13.93,8.22,2192,28.6
23,Healy,Surface,June,25.2,4.65,7.24,2049,142.3
24,Lake Verm,Control,May,20.2,15.07,8.28,3366,19.5
25,Lake Verm,Control,June,26.9,17.96,7.64,3939,28.5
26,Lake Verm,Control,July,26.8,8.4,8.79,5310,21.6
27,Lost Lake,Control,May,16.6,8.23,7.35,1828,11.1
28,Lost Lake,Control,June,26.9,3.6,7.32,1869,3.8
29,Lost Lake,Control,July,25.4,2.86,7.55,1910,39.1
30,Petri,Surface,May,15.6,13.54,7.27,2576,11.7
31,Petri,Surface,June,24.2,7.84,7.15,18.9,15
32,Petri,Surface,July,26.2,6.06,8.2,2484,2.29
33,Pettigrew,Control,May,13,11.38,7.79,720,-2.4
34,Pettigrew,Control,June,22.9,2.32,7.5,698,1.6
35,Pettigrew,Control,July,22.1,3.15,7.21,651,39
36,Pittenger,Control,May,15.6,11.51,8.18,1054,11.4
37,Pittenger,Control,June,27.9,9.95,9.12,92,27.6
38,Pittenger,Control,July,23.2,11.19,9.54,827,8.2
39,Ramsey,Surface,May,15.1,14.78,8.41,2905,6.6
40,Ramsey,Surface,June,27.2,4.79,7.92,2764,23.8
41,Schaefer,Surface,May,22.1,14.07,8.72,1720,53
42,Schaefer,Surface,June,25.4,10.07,8.63,1559,25.2
43,Schaefer,Surface,July,25.1,6,8.95,1716,60.9
44,Swartz,Tile,May,18.9,9.41,8.19,2612,2.8
45,Swartz,Tile,June,25,10.11,8.38,2137,32.1
46,Swartz,Tile,July,23.3,3.65,8.37,1812,25.8
47,Volker,Tile,May,17.8,8.17,7.34,2512,21.9
48,Volker,Tile,June,24.3,1.47,7.23,2591,42.2
49,Volker,Tile,July,24.3,3.56,8.02,2696,36.2
50,Ziegler,Surface,May,18.3,15.5,8.69,2265,4.5
51,Ziegler,Surface,June,25.6,12.87,8.33,1925,6.7
52,Ziegler,Surface,July,24.2,13.7,8.84,1494,9.1
